职位名称,地区,薪水,标签,能力要求,公司名字,公司介绍,福利待遇,职位描述,企业类型,工作地址,详情链接
大数据开发实习生 (MJ000103),广州·天河区·珠江新城,120-150元/天,"3天/周,4个月,本科",Shell大数据开发经验国内院校优先计算机相关专业,卓望公司,卓望公司成立于2000年6月，是中国移动的控股子公司，主要面向IT、Internet、ICT领域的业务发展，专注于技术平台开发、应用开发及运营服务为主体的综合科技公司。  成立近二十周年以来，卓望公司逐渐形成包括业务合作运营管理、渠道运营合作管理、数字内容运营支撑、网络集中运维、企业服务、信息安全、ICT集成、智慧校园平台开发及运营等在内的多项核心业务能力，并构建了卓望的研发、运营、运维一体化能力体系。在发展过程中，卓望积累了69项专利及200余项软件著作权，获得了信息系统集成及服务（一级）资质、电子认证服务许可证、信息安全服务资质证书安全工程类一级等专业资质，通过了CMMI5级认证，是国家高新技术企业。  通过灵活的市场化人才机制，卓望公司拥有了一支具有IT、ICT和Internet多元化经验、年龄结构合理、专业性强、超过2000人的人才队伍，业务覆盖全国30余个省市，在广州、深圳、杭州、上海、西安、成都、济南等地设有办公地点，为客户提供完备的技术和运营支持。  作为中国移动数字化创新的探路者，卓望公司一方面以市场化的运作模式，为客户提供支撑运营服务，持续提升客户体验，以优质服务巩固客户信任；另一方面，坚持自主创新，充分利用积累的技术和经验，积极拓展新型移动互联网业务，对外合资合作，聚合资源能力，放大创新业务价值。  面向未来，卓望公司将以“激发动能，共创价值，成为产业数字化、智能化的创新使能者”为战略愿景，力争成为运营商数字化创新的支撑力量、运营商与垂直行业连接的中间力量、产业数字化和智能化创新的技术运营力量，在垂直领域创新探索，与合作伙伴协同共赢，全面推动公司转型发展。  卓望，Aspire to Inspire！,餐补，交通补助，年终奖，健康福利金，带薪年假，定期体检，重疾及意外险，通讯补贴，五险一金，过节费，补充医疗保险，节日福利,"岗位职责： 1、熟悉软件开发的工作流程、在导师指导下掌握软件开发工具和开发技能； 2、根据软件需求和软件设计，承担代码编写，测试文档编写工作； 3、根据业务需求设计数据处理架构和开发大数据处理流程，整理数据逻辑。 岗位要求：  1、统招24届本科及以上学历，大数据、软件工程、人工智能、通信工程、信息系统、信息安全、工业设计、计算机等相关专业； 2、对大数据处理、数据建模、BI数据分析等有深刻认识和实战经验； 3、熟悉SQL语言，熟悉shell, python等脚本语言； 4、熟悉hadoop、flink、spark、clickhouse、StarRocks等大数据生态技术栈并有代码开发经验； 5、熟悉MVC模式的Web工程架构。有Java工程开发经验，熟悉Spring生态框架；或熟悉Python+Diango等工程框架； 6、能承受压力，具备良好的沟通协调能力，工作认真负责，富有团队精神，具有良好的自学能力； 7、24秋招提前批，表现优秀者提供转正机会 相关福利 1、带你一起享受软件开发乐趣的导师； 2、熟悉成熟规范的软件开发流程； 3、收获一群开心的融洽队友； 4、另对实践期间表现优秀者或实践周期长达5个月及以上者，优先提供卓望转正。",分公司,广州天河区富力中心43楼,https://www.zhipin.com/job_detail/1bed04167e69da5a1X1-39y_GVNR.html?lid=5UxuHASHnTz.search.1&securityId=8HXxSlIMelKXP-h1X8WAj-iH2TUSlpsG7VFIChafGldiDnYrx7f0C6g1a_wDl0hPXg3R9nZt7vnHpyHNK2eR11_L93dA7L8VfxsK0LJKQHPWWds~&sessionId=
大数据开发实习生(J12695),广州·海珠区·华洲,150-200元/天,"4天/周,3个月,本科",Java计算机相关专业,树根互联股份有限公司,"树根互联股份有限公司（以下简称“树根互联”）成立于2016年6月，定位为数字化转型新基座，开发了以自主可控的工业互联网操作系统为核心的工业互联网平台——根云平台。公司提供的工业互联网解决方案主要包括智能制造IIoT解决方案、产品智能化IIoT解决方案、产业链IIoT解决方案，赋能工业企业的智能生产管理、产品与服务的创新以及产业链协同，提供低成本、低门槛、高效率、高可靠的工业互联网数字化转型服务。公司业务快速增长，最近三年营业收入复合增长率达到84.71%。        公司作为中国工业互联网领域最早的开拓者之一，连续多年获得工业和信息化部、国际权威评测机构等的认可，稳居工业互联网行业第一梯队，具有良好的口碑和市场影响力。目前，树根互联已连续四年入选工信部“跨行业跨领域工业互联网平台清单”，连续四年入选Gartner“全球工业互联网平台魔力象限”、位居中国第一，也是广州市重点产业链“软件和信创”链主企业。在IDC发布的《2021中国工业互联网平台市场厂商评估》结果中位于“领导者象限”，技术力全国第一；在IDC首次发布的《IDC MarketScape：中国数字工厂整体解决方案2022年厂商评估》中，树根互联成功上榜并位居IDC数字工厂领导者象限。在福布斯中国评选的“2021年度中国十大工业数字化转型企业”榜单中位列首位。   公司地址概览： 广州：广州市海珠区华洲路190号时代方洲（海珠）西区8栋 北京：北京市海淀区西北旺东路10号院互联网创新中心606  上海：上海市浦东新区南汇新城镇环湖西二路888号 长沙：长沙市经济技术开发区三一路1号 苏州：苏州工业园区金鸡湖大道88号D3单元 西安：陕西省西咸新区沣西新城云谷一期 重庆：重庆市南岸区中国智谷科创产业园 成都：成都市锦江区锦盛路2号煦华国际商务中心13号楼11楼 Singapore：150 Beach Road #14-04 Gateway West, Singapore Germany：5th floor Am Flughafen 12, Frankfurt, 60549",带薪年假，团建聚餐，年终奖，五险一金，定期体检，交通补助，免费班车，节日福利,工作职责: 1.负责PB级工业互联网数据的实时计算、实时数仓、离线分析等。 2.负责业务逻辑设计和实现、单元测试的编写等。 3.负责生产环境问题的诊断与支持。 任职资格: 1.统招24届本科及以上学历，985/211学历优先，计算机或相关专业。 2.掌握Java开发体系，有良好的编程基础、对代码质量有较高的追求。 3.了解flink/spark框架及原理，有一定的大数据程序或工具的实操经验。 4.了解常用的大数据组件及中间件，如：Flume、Sqoop、Hdfs、Hive/Hudi、Kafka、Rabbitmq等。 5.具有良好的系统化思考能力，沟通协作能力，抗压能力。 6.有工业互联网/物联网行业工作经验者优先。,其他股份有限公司（非上市）,广州海珠区时代方洲(海珠)西区西区,https://www.zhipin.com/job_detail/708267dfa9e866941X1839i9F1dY.html?lid=5UxuHASHnTz.search.2&securityId=tJNnxtZKRCupT-y1lqAAFVOVYczlLtHw_ca4UP9EBUGWuU88LWxjPe6c1mNywil2AIsoDoqz33SZqUKrpVWpUkrBj1liEfaqRJBQpCuXn1ukaxLCBYc~&sessionId=
职位名称,地区,薪水,标签,能力要求,公司名字,公司介绍,福利待遇,职位描述,企业类型,工作地址,详情链接
大数据开发实习生 (MJ000103),广州·天河区·珠江新城,120-150元/天,"3天/周,4个月,本科",Shell大数据开发经验国内院校优先计算机相关专业,卓望公司,卓望公司成立于2000年6月，是中国移动的控股子公司，主要面向IT、Internet、ICT领域的业务发展，专注于技术平台开发、应用开发及运营服务为主体的综合科技公司。  成立近二十周年以来，卓望公司逐渐形成包括业务合作运营管理、渠道运营合作管理、数字内容运营支撑、网络集中运维、企业服务、信息安全、ICT集成、智慧校园平台开发及运营等在内的多项核心业务能力，并构建了卓望的研发、运营、运维一体化能力体系。在发展过程中，卓望积累了69项专利及200余项软件著作权，获得了信息系统集成及服务（一级）资质、电子认证服务许可证、信息安全服务资质证书安全工程类一级等专业资质，通过了CMMI5级认证，是国家高新技术企业。  通过灵活的市场化人才机制，卓望公司拥有了一支具有IT、ICT和Internet多元化经验、年龄结构合理、专业性强、超过2000人的人才队伍，业务覆盖全国30余个省市，在广州、深圳、杭州、上海、西安、成都、济南等地设有办公地点，为客户提供完备的技术和运营支持。  作为中国移动数字化创新的探路者，卓望公司一方面以市场化的运作模式，为客户提供支撑运营服务，持续提升客户体验，以优质服务巩固客户信任；另一方面，坚持自主创新，充分利用积累的技术和经验，积极拓展新型移动互联网业务，对外合资合作，聚合资源能力，放大创新业务价值。  面向未来，卓望公司将以“激发动能，共创价值，成为产业数字化、智能化的创新使能者”为战略愿景，力争成为运营商数字化创新的支撑力量、运营商与垂直行业连接的中间力量、产业数字化和智能化创新的技术运营力量，在垂直领域创新探索，与合作伙伴协同共赢，全面推动公司转型发展。  卓望，Aspire to Inspire！,餐补，交通补助，年终奖，健康福利金，带薪年假，定期体检，重疾及意外险，通讯补贴，五险一金，过节费，补充医疗保险，节日福利,"岗位职责： 1、熟悉软件开发的工作流程、在导师指导下掌握软件开发工具和开发技能； 2、根据软件需求和软件设计，承担代码编写，测试文档编写工作； 3、根据业务需求设计数据处理架构和开发大数据处理流程，整理数据逻辑。 岗位要求：  1、统招24届本科及以上学历，大数据、软件工程、人工智能、通信工程、信息系统、信息安全、工业设计、计算机等相关专业； 2、对大数据处理、数据建模、BI数据分析等有深刻认识和实战经验； 3、熟悉SQL语言，熟悉shell, python等脚本语言； 4、熟悉hadoop、flink、spark、clickhouse、StarRocks等大数据生态技术栈并有代码开发经验； 5、熟悉MVC模式的Web工程架构。有Java工程开发经验，熟悉Spring生态框架；或熟悉Python+Diango等工程框架； 6、能承受压力，具备良好的沟通协调能力，工作认真负责，富有团队精神，具有良好的自学能力； 7、24秋招提前批，表现优秀者提供转正机会 相关福利 1、带你一起享受软件开发乐趣的导师； 2、熟悉成熟规范的软件开发流程； 3、收获一群开心的融洽队友； 4、另对实践期间表现优秀者或实践周期长达5个月及以上者，优先提供卓望转正。",分公司,广州天河区富力中心43楼,https://www.zhipin.com/job_detail/1bed04167e69da5a1X1-39y_GVNR.html?lid=5UBUTFtb9kA.search.1&securityId=tXoP07557byuN--1PLA-U_IC8urqy9JKjXviZjGzEN1UmBrY1UxV4YhHlgtX3rkfe9w3Q1eq2OuOvfNhKPT8hJ-WQ0s40bu5OdQJXD4clHe_gLQ~&sessionId=
大数据开发实习生(J12695),广州·海珠区·华洲,150-200元/天,"4天/周,3个月,本科",Java计算机相关专业,树根互联股份有限公司,"树根互联股份有限公司（以下简称“树根互联”）成立于2016年6月，定位为数字化转型新基座，开发了以自主可控的工业互联网操作系统为核心的工业互联网平台——根云平台。公司提供的工业互联网解决方案主要包括智能制造IIoT解决方案、产品智能化IIoT解决方案、产业链IIoT解决方案，赋能工业企业的智能生产管理、产品与服务的创新以及产业链协同，提供低成本、低门槛、高效率、高可靠的工业互联网数字化转型服务。公司业务快速增长，最近三年营业收入复合增长率达到84.71%。        公司作为中国工业互联网领域最早的开拓者之一，连续多年获得工业和信息化部、国际权威评测机构等的认可，稳居工业互联网行业第一梯队，具有良好的口碑和市场影响力。目前，树根互联已连续四年入选工信部“跨行业跨领域工业互联网平台清单”，连续四年入选Gartner“全球工业互联网平台魔力象限”、位居中国第一，也是广州市重点产业链“软件和信创”链主企业。在IDC发布的《2021中国工业互联网平台市场厂商评估》结果中位于“领导者象限”，技术力全国第一；在IDC首次发布的《IDC MarketScape：中国数字工厂整体解决方案2022年厂商评估》中，树根互联成功上榜并位居IDC数字工厂领导者象限。在福布斯中国评选的“2021年度中国十大工业数字化转型企业”榜单中位列首位。   公司地址概览： 广州：广州市海珠区华洲路190号时代方洲（海珠）西区8栋 北京：北京市海淀区西北旺东路10号院互联网创新中心606  上海：上海市浦东新区南汇新城镇环湖西二路888号 长沙：长沙市经济技术开发区三一路1号 苏州：苏州工业园区金鸡湖大道88号D3单元 西安：陕西省西咸新区沣西新城云谷一期 重庆：重庆市南岸区中国智谷科创产业园 成都：成都市锦江区锦盛路2号煦华国际商务中心13号楼11楼 Singapore：150 Beach Road #14-04 Gateway West, Singapore Germany：5th floor Am Flughafen 12, Frankfurt, 60549",带薪年假，团建聚餐，年终奖，五险一金，定期体检，交通补助，免费班车，节日福利,工作职责: 1.负责PB级工业互联网数据的实时计算、实时数仓、离线分析等。 2.负责业务逻辑设计和实现、单元测试的编写等。 3.负责生产环境问题的诊断与支持。 任职资格: 1.统招24届本科及以上学历，985/211学历优先，计算机或相关专业。 2.掌握Java开发体系，有良好的编程基础、对代码质量有较高的追求。 3.了解flink/spark框架及原理，有一定的大数据程序或工具的实操经验。 4.了解常用的大数据组件及中间件，如：Flume、Sqoop、Hdfs、Hive/Hudi、Kafka、Rabbitmq等。 5.具有良好的系统化思考能力，沟通协作能力，抗压能力。 6.有工业互联网/物联网行业工作经验者优先。,其他股份有限公司（非上市）,广州海珠区时代方洲(海珠)西区西区,https://www.zhipin.com/job_detail/708267dfa9e866941X1839i9F1dY.html?lid=5UBUTFtb9kA.search.2&securityId=p3Yf0itw8af1F-01HqJNzlV0RoZvCRCEj1QR6bqZDBkwwuKRdcRW7JE05jdoTuaVutmEZWBBYV2TZcggK_QmurF291SM_PzA85glUf2U_aEeEPp-1EE~&sessionId=
数据研发工程师（24届实习生）,广州·海珠区·琶洲,200-400元/天,"5天/周,3个月,本科",SQLPythonJava,广州灵犀互动娱乐...,,,"""如果你想参与阿里大数据的采集、存储、处理，通过分布式大数据平台加工数据，支持业务管理决策；  如果你想参与阿里大数据体系的模型设计、开发、维护，通过元数据、质量体系有效的管理和组织EB级的数据； 如果你想参与阿里大数据产品的研发，发挥你的商业sense，通过数据分析和算法来洞察数据背后的机会，来探索大数据商业化； 如果你想接触世界领先的大数据处理与应用的技术和平台，获得大数据浪潮之巅的各类大牛的指导； 那就加入我们吧！"" 职位要求： ""【必备项】 1、较强的动手能力和学习能力，熟悉一门数据处理语言，如SQL、JAVA、Python、Perl等，熟悉unix或者linux操作； 2、具备扎实的专业基础，良好的沟通能力和团队合作，主动积极，乐于面对挑战； 3、学习能力强，对新事物保有好奇心，并能快速适应新环境。 【加分项】 1、有参与数据处理、分析、挖掘等相关项目的经验；  2、对Hadoop、Hive、Hbase等分布式平台有一定的理解。 一段全新、有意思的旅程正待开启！为了更全面的展现你自己，你还可以在简历中附上你认为自己最有意思的爱好、特长、经历，或是对未来有意思的畅想，没有限制，此项非必填。加入我们，一起打开有意思的未来！""",有限责任公司（法人独资）,广州海珠区阿里中心·广州琶洲88号,https://www.zhipin.com/job_detail/83d6e72db54ee18e1XN92dm5EVpY.html?lid=5UBUTFtb9kA.search.3&securityId=p8YL9rbtUnenC-e10QkZIHUOGx1aUuRYZ7_Tg-k_Z6Phc2FTAC4KEXn38fZbDB2w1ltX29RWQrQ1NQKMw8B2Yl1rQI5TWya0Q6f5DPurEnUA7RhCsrvj&sessionId=
大数据开发实习生,广州,2-4K,"经验不限,本科",ETLLinuxMySQL,广州弘凯物联网服...,公司简介：  广州弘凯物联网服务有限公司(简称“弘凯物联网”)专注于慢性病院外治疗管理领域，贯彻“以提升生活质量和生命质量为己任”的使命，以 www.kf580.com 康复我帮您平台为依托，为慢性病患者、医生、从业者提供专业的康复服务管理系统支持。  公司关联企业——广州新松弘凯医学科技有限公司自2001年起，以专业的呼吸器材和康复服务，致力于为慢性呼吸病患者提供呼吸康复治疗解决方案，服务于5万以上患者，沉淀长达十四年的行业经验。  弘凯物联网核心团队由来自于中国科学院、高校、医院的专家团队、行业资深人士等组成，目前正致力于健康物联网设备、个人健康云服务平台和智能移动设备应用研发等。  为梦想插上翅膀，诚邀有识之士共创未来！  我们的风口主题词：  互联网+ 中国制造2025  物联网 移动医疗 慢性病管理  健康服务业 现代服务业 众创  我们的口号:   以提升生活质量和生命质量为己任 唯有真爱浇灌梦想，才能成就智慧之光 好工作不是找来的，好工作是干出来的!,,岗位职责： 1、数据开发工作，包括运营报表开发，临时性统计需求及数据模型的开发等工作。 任职要求： 1、具有数据开发经验，对数据处理、数据建模、数据分析等有一定的认识和实战经验； 2、计算机或数学专业，对数据敏感、具备良好的逻辑思维能力； 3、熟悉SQL，有一定的SQL性能优化经验； 4、熟练掌握linux操作系统，掌握基本的shell、python等脚本编程,有限责任公司（自然人投资或控股）,,https://www.zhipin.com/job_detail/d111fe0d029219a81XZ529W1FlY~.html?lid=5UBUTFtb9kA.search.4&securityId=zaVU_FW1YMafW-l1X-gkKSQWM0qKj90dSk6O70GxtLuwZkdYzirpin0L9f2VEm7p5Byyj730ZzfBm0MYgyftUiVdTYfgCRXAn-Ip59V4IZVJuyev&sessionId=
实习岗-智慧城市咨询助理,广州·海珠区·南洲,80-150元/天,"4天/周,3个月,本科",政府及公共服务数字经济咨询专员/助理智慧城市,数文明,"数文明是一家聚焦政府、企业数字化转型咨询和数据服务的新型咨询公司。  公司团队目前已为广州、深圳、佛山、南京、苏州、成都、青岛、烟台等政府客户提供过智慧城市、数字政府、数字经济等领域等咨询服务，也为阿里巴巴、腾讯、华为、银联、神州数码、招商银行、中信银行、中航信托、南方电网等大型企业提供过数字化转型咨询服务。  公司与中山大学、南方都市报合作的 “问数湾区"" 论坛是大湾区最具数据创新引导力的半公开论坛。团队与复旦大学团队合著的《善数者成-大数据改变中国》一书被中共中央组织部评选为全国党员教育精品教材，并已被翻译成8种语言沿“一带一路”传播。",五险一金，年终奖，带薪年假,招聘岗位：实习岗——智慧城市咨询助理 工作地点：广州 公司简介： 数文明科技是一家聚焦政企数字化转型咨询和数据服务的新型咨询公司。目前已为广州、深圳、佛山、南京、苏州、成都、青岛、烟台等政府客户提供过智慧城市、数字政府、数字经济等领域等咨询服务，也为阿里巴巴、腾讯、华为、银联、神州数码、招商银行、中信银行、中航信托、南方电网等大型企业提供过数字化转型咨询服务。公司与中山大学、南方都市报合作的《问数湾区》论坛是大湾区深具数据创新引导力的半公开论坛。团队与复旦大学团队合著的《善数者成-大数据改变中国》一书被中组部评选为全国党员教育精品教材，并已被翻译成8种语言沿“一带一路”传播。 岗位要求： （1）广州本地高校本科以上应届生，专业不限，研究生优先，文字、PPT能力优秀优先，有相关领域实践经验优先； （2）关注大数据、人工智能、智慧城市、数字经济、数字政府、数据治理等领域的相关政策、技术创新、产业发展、建设模式、创新应用等；配合咨询专家完成项目中的资料查询与整理、调研报告等辅助性工作； （3）承担部分咨询项目日常事务工作； （4）接受部分出差、外出调研； （5）实习工作表现优异者，优先考虑免试用期留任。本岗位未来培养路径为：咨询助理—》咨询顾问—》高级咨询专家—》咨询合伙人。,有限责任公司（自然人投资或控股）,广州海珠区侨建·HICITY19层/1901,https://www.zhipin.com/job_detail/42dde425127ab3f41nd62NW1FFVX.html?lid=5UBUTFtb9kA.search.5&securityId=JRhxgxW9KPjOA-j1OdcuBTJDmTUfT7EBVG7_S-2ylKuWEBmsAtqrPs5VG6gvDh3RjE5jkAxTDem-IuBsvQ8ceULWyKM_TGzl0DpEjMe9XZpC-bKZFA~~&sessionId=
软件产品专员（实习岗）,广州·天河区·小新塘,100-150元/天,"5天/周,3个月,本科",用户产品B端产品数据产品,链客科技,链客（www.hlinks.cn）是中国数字化人力资源服务领域的新兴力量，通过“B+C”的数字化人力资源应用系统，利用大数据、云计算、人工智能和即时通信技术，为企业提供科学与专业的用工解决方案，进一步激发个人创造力，提升企业的管理效能。   链客拥有全国服务网络，采用全流程在线操作，可为全国客户提供高效快捷的服务。链客的的产品和服务正广泛应用于快递、零售、餐饮、酒店等行业，逐步形成应用于不同行业的系统化解决方案。   链客坚持“客户第一”，充分利用互联网新技术，开发与完善数字化人力资源应用系统，持续为客户创造价值，推动中国人力资源服务产业的发展与变革。   【企业文化】  使命：让用工轻起来  愿景：成为客户最可信赖的合作伙伴  价值观：客户第一、拥抱变化、激情、敬业,底薪加提成，团建聚餐，通讯补贴，零食下午茶，免费工装，带薪年假，年终奖，节日福利，交通补助，股票期权，餐补，生日福利，保底工资，员工旅游，绩效奖金，意外险，补充医疗保险，五险一金,【岗位职责】 1、产品设计：负责互联网产品（各类软件、平台、人工智能/大数据等）的设计与迭代； 2、竞品分析：敏锐地捕抓行业动态、分析竞品、用户群体的信息； 3、项目管理：负责与服务商、开发以及公司其它业务部门之间的沟通协调工作，保障各项目顺利闭环； 4、产品运营：参与平台类产品的运营，对bug进行跟踪，并收集改进建议，提供改进方案，引导用户熟悉使用产品，并以数据为导向，持续优化产品； 【任职要求】 1、计算机相关专业，本科及以上； 2、学习力强，爱思考，上进心强； 3、勤奋踏实，逻辑性强，对信息系统有一定了解优先； 【薪酬福利】 基本工资+补贴+绩效+五险一金； 【发展计划】 产品助理—产品专员—产品主管—产品经理； 加分项 有以下行业经验：互联网·企业服务·数据服务,有限责任公司（法人独资）,广州天河区天河人才港广州市天河区软件路13号703,https://www.zhipin.com/job_detail/acf07b2f3e7c10cf1XN82d-1EVtY.html?lid=5UBUTFtb9kA.search.6&securityId=Muqu9XvkaLsAt-j1eU2ji8GJbvp1jTMAgDU-shnA6wJ01IcYmfXkpxqhW7WpuaOemsOfXBD0CF5scw1kQxLFgPYWL3FMHGtPNgWg_btmw93NrIf9R_mL&sessionId=
数据录入实习生,广州·荔湾区·南源,180-200元/天,"6天/周,3个月,大专",大数据,聚鑫,,,工作时间：早上8：30～12：00，下午14：00～17：30，晚18:30～20:00  单休 周六晚上不用上班 工作简介： 负责项目情况去支援各项目的数据整合 岗位职责： 1、负责GIS数据检查、处理、入库、合库； 2、对数据库进行日常的维护与更新； 3、与测绘外业人员沟通，接收和反馈建库所需数据资料等。 岗位要求： 1、大专以上学历，年龄25岁以下 2、具有较好的责任心和良好的协调沟通能力；  注：需做三个月以上才开实习证明,有限责任公司（自然人投资或控股）,广州荔湾区协晟大厦38号,https://www.zhipin.com/job_detail/e1e3848887f2bc1f1nZ73tq-GFpW.html?lid=5UBUTFtb9kA.search.7&securityId=BJ7ILyJq2dJqm-s1CzEvpF2g89_6mHgy_Y_Oex3Tg6Q7nN7PlkRv-MlqVg52L7xKW9Fn8e08GG3PNudxLuN5EHJCSRYRWV5fNWr-P8hnIy-DNHNvMTE~&sessionId=
